1	311	3	1780	4.92001502799e-05	1342
2	505	1	74	0.00112868538657	9197
3	555	1	87	0.0113502935421	1385
4	777（THREE SEVEN）	2	968	0.00162948172135	2599
6	1000S	2	143	0.00070263334759	6182
8	101忠狗	1	6469	0.00189933216557	11842
10	10度世家（Pado）	3	6	0.000150806816468	653
13	15/16（FIFTEENSIXTEEN）	4	476	0.000434730508886	1346
14	172巷（lane172）	1	3717	0.000551938742373	11731
22	2AM	1	12	3.48731130159e-07	1342
23	2H&2D	3	523	0.0116658088866	9194
24	2N	4	102	0.00104370515329	1385
26	33000ft	2	2293	0.000683112618019	2628
27	360BUY	4	49	0.0441176470588	807
28	361°	8	351825	0.0593060443739	12102
29	365SLEEP	2	68	3.23592084648e-05	1621
31	3G网神	1	1	0.000128270908158	699
32	3M	41	22534	0.0300765104212	738
34	3兆	1	6	2.89783956401e-06	1621
36	42纬之下（42below）	40	59190	1.0	7204
38	500YEAR	1	140	4.06852985185e-06	1342
39	519（Five One Nine）	4	924	0.0026064603194	1624
40	520家纺	1	181	8.7418160181e-05	1621
41	55YA	1	540	0.00116879575078	2575
42	590（FiveNineZero）	1	67	2.91674901767e-05	1345
44	7.62Design	3	369	9.27043587671e-06	1342
45	7000年	3	440	0.00312736921911	6167
46	7C	2	1656	0.000157845273915	11731
47	7CF	3	53	0.000198258160447	6743
48	7D	2	172	0.00176258717143	5019
49	7M	1	3	7.66342248448e-05	5019
52	8IN1	5	134	0.00620211601605	7001
56	9.9樱花汇	8	848	0.00403094018956	1384
57	96HOURS	1	994	0.000130592588174	11730
58	a.b.x	3	6610	0.000185059986404	1342
59	a.i.n	1	2	5.24315113383e-06	4997
62	A+B	9	497	0.00549607423269	6264
63	a02	4	2792	0.000127435860784	1343
65	A5000虫草	1	18	0.00154466660946	9195
66	AAA	4	773	0.000405309555173	752
67	aardman	2	91	0.000219702083974	2577
69	AB	2	2060	0.000883731418785	1345
71	ABA	1	1190	0.000156343239364	11730
72	ABB	3	1905	0.0496710526316	1277
73	ABC	10	6156	0.0202217873451	1385
74	A-bike smart	1	1	4.74268559314e-06	12115
77	AC-AUDIO	1	22	0.000428916790143	6291
78	ACCU-CHEK	1	1	1.5252505224e-05	9197
79	ACCUTIRE	1	3	6.48999459167e-05	6747
80	ACOLITE	1	6	2.76934141507e-07	1343
81	Acorn	1	4	7.7984870935e-05	6291
82	Actvivid	1	35	0.000153699548123	1466
83	AC德科（ACDelco）	1	315	0.00065127992011	6742
84	AD ROCKET	1	87	0.000324091147841	1463
85	ADERENZA	1	59	0.000121985762814	6742
88	Adventteam	1	24	9.58700002796e-05	2577
89	AEE	2	35	0.00183570445158	654
93	AE美国鹰（American Eagle）	2	24	1.01830919941e-05	6182
